ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa00534	Glycosaminoglycan biosynthesis	-3.26635106839027	0.000218961303310654	0.0722152483331671	5/370	24/15524	2137/3340/11285/26229/64132	EXTL3/NDST1/B4GALT7/B3GAT3/XYLT2	5
KEGG_hsa05100	Bacterial invasion of epithelial cells	-4.11176343546001	0.000227091975890462	0.0722152483331671	8/370	69/15524	71/1213/1398/1399/8936/9564/10094/10096	ACTG1/CLTC/CRK/CRKL/WASF1/BCAR1/ARPC3/ACTR3	8
KEGG_hsa05135	Yersinia infection	-4.99399058304251	0.000364814233677039	0.0762246178719557	11/370	134/15524	71/1147/1398/1399/1432/3725/5586/5606/9564/10094/10096	ACTG1/CHUK/CRK/CRKL/MAPK14/JUN/PKN2/MAP2K3/BCAR1/ARPC3/ACTR3	11
KEGG_hsa00600	Sphingolipid metabolism	-2.65146607019215	0.00103617428828223	0.0953825700108221	6/370	49/15524	2531/5660/7357/29956/56624/130367	KDSR/PSAP/UGCG/CERS2/ASAH2/SGPP2	6
KEGG_hsa05110	Vibrio cholerae infection	-3.64265760461658	0.00115421409591535	0.0981970590222011	6/370	50/15524	71/375/526/529/10312/23480	ACTG1/ARF1/ATP6V1B2/ATP6V1E1/TCIRG1/SEC61G	6
KEGG_hsa04721	Synaptic vesicle cycle	-3.73615065592303	0.00255431883290226	0.130891876854838	7/370	78/15524	160/526/529/1213/6531/6844/10312	AP2A1/ATP6V1B2/ATP6V1E1/CLTC/SLC6A3/VAMP2/TCIRG1	7
KEGG_hsa04910	Insulin signaling pathway	-4.50982763286022	0.00530779181010561	0.171774911855298	9/370	136/15524	31/1398/1399/2645/3632/5573/5584/6654/10603	ACACA/CRK/CRKL/GCK/INPP5A/PRKAR1A/PRKCI/SOS1/SH2B2	9
KEGG_hsa05120	Epithelial cell signaling in Helicobacter pylori infection	-3.47214970182036	0.00640316029528234	0.193088402697393	6/370	70/15524	526/529/1147/1432/3725/10312	ATP6V1B2/ATP6V1E1/CHUK/MAPK14/JUN/TCIRG1	6
KEGG_hsa04666	Fc gamma R-mediated phagocytosis	-3.59031560323089	0.00802086708423442	0.214175519546962	7/370	96/15524	1398/1399/8936/10094/10096/55616/123745	CRK/CRKL/WASF1/ARPC3/ACTR3/ASAP3/PLA2G4E	7
KEGG_hsa00532	Glycosaminoglycan biosynthesis	-2.47027075932172	0.0113293307896045	0.234849447107798	3/370	20/15524	11285/26229/64132	B4GALT7/B3GAT3/XYLT2	3
KEGG_hsa04150	mTOR signaling pathway	-3.90418277133549	0.0115938963604173	0.234849447107798	9/370	154/15524	526/529/1147/6502/6654/6794/7474/201163/253260	ATP6V1B2/ATP6V1E1/CHUK/SKP2/SOS1/STK11/WNT5A/FLCN/RICTOR	9
KEGG_hsa04964	Proximal tubule bicarbonate reclamation	-1.8731960008418	0.0166998072305128	0.234849447107798	3/370	23/15524	1468/6550/27165	SLC25A10/SLC9A3/GLS2	3
KEGG_hsa03013	RNA transport	-4.09237652483352	0.0175093013721075	0.234849447107798	9/370	165/15524	5976/9775/9818/10482/11097/23511/55746/57122/79228	UPF1/EIF4A3/NUP58/NXF1/NUP42/NUP188/NUP133/NUP107/THOC6	9
KEGG_hsa04120	Ubiquitin mediated proteolysis	-3.51235146733105	0.0175966701606619	0.234849447107798	8/370	138/15524	996/6502/7319/8451/8881/8924/11059/118424	CDC27/SKP2/UBE2A/CUL4A/CDC16/HERC2/WWP1/UBE2J2	8
KEGG_hsa04530	Tight junction	-4.49112642982903	0.0201276772214915	0.234849447107798	9/370	169/15524	71/3725/5584/6794/10094/10096/64398/103910/154810	ACTG1/JUN/PRKCI/STK11/ARPC3/ACTR3/MPP5/MYL12B/AMOTL1	9
KEGG_hsa05211	Renal cell carcinoma	-3.40264903775248	0.0229390562391392	0.234849447107798	5/370	68/15524	1398/1399/3725/6654/201163	CRK/CRKL/JUN/SOS1/FLCN	5
KEGG_hsa03420	Nucleotide excision repair	-1.84359403475311	0.0235984928597751	0.234849447107798	4/370	46/15524	1069/5981/8451/54107	CETN2/RFC1/CUL4A/POLE3	4
KEGG_hsa00190	Oxidative phosphorylation	-3.65058139938982	0.0247992722609563	0.24231244237102	7/370	120/15524	522/526/529/1345/4704/6390/10312	ATP5PF/ATP6V1B2/ATP6V1E1/COX6C/NDUFA9/SDHB/TCIRG1	7
KEGG_hsa04966	Collecting duct acid secretion	-2.38648787829925	0.0257245240719608	0.247890868329804	3/370	27/15524	526/529/10312	ATP6V1B2/ATP6V1E1/TCIRG1	3
