ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	-3.39445527253067	7.82469181601549e-05	0.0672431505010432	6/370	31/15524	2645/9818/11097/23511/55746/57122	GCK/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	-3.39445527253067	7.82469181601549e-05	0.0672431505010432	6/370	31/15524	2645/9818/11097/23511/55746/57122	GCK/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_180746	Nuclear import of Rev protein	-3.32879957103601	0.000113065791023395	0.0672431505010432	6/370	33/15524	4869/9818/11097/23511/55746/57122	NPM1/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_159227	Transport of the SLBP independent Mature mRNA	-3.33358495195946	0.000134563194255947	0.0672431505010432	6/370	34/15524	9818/10482/11097/23511/55746/57122	NUP58/NXF1/NUP42/NUP188/NUP133/NUP107	6
REACTOME_159230	Transport of the SLBP Dependant Mature mRNA	-3.33358495195946	0.000159174780204723	0.0695991726445149	6/370	35/15524	9818/10482/11097/23511/55746/57122	NUP58/NXF1/NUP42/NUP188/NUP133/NUP107	6
REACTOME_168276	NS1 Mediated Effects on Host Pathways	-3.31953071481378	0.000219009370293045	0.0722152483331671	6/370	37/15524	3838/9818/11097/23511/55746/57122	KPNA2/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	-3.90087289685149	0.000369200952302095	0.0762246178719557	8/370	74/15524	9775/9818/10482/11097/23511/55746/57122/79228	EIF4A3/NUP58/NXF1/NUP42/NUP188/NUP133/NUP107/THOC6	8
REACTOME_159231	Transport of Mature mRNA Derived from an Intronless Transcript	-3.33358495195946	0.000390952436635629	0.0762246178719557	6/370	41/15524	9818/10482/11097/23511/55746/57122	NUP58/NXF1/NUP42/NUP188/NUP133/NUP107	6
REACTOME_3928662	EPHB-mediated forward signaling	-3.10419409196216	0.000447069823861701	0.0762246178719557	6/370	42/15524	71/2904/6383/7525/10094/10096	ACTG1/GRIN2B/SDC2/YES1/ARPC3/ACTR3	6
REACTOME_168325	Viral Messenger RNA Synthesis	-4.2005800046699	0.000509272960762647	0.0762246178719557	6/370	43/15524	5436/9818/11097/23511/55746/57122	POLR2G/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_4615885	SUMOylation of DNA replication proteins	-3.40282209575647	0.000653726959879989	0.0802179839099106	6/370	45/15524	9818/11097/23511/55143/55746/57122	NUP58/NUP42/NUP188/CDCA8/NUP133/NUP107	6
REACTOME_168271	Transport of Ribonucleoproteins into the Host Nucleus	-3.14283623174776	0.000763323553302966	0.0809122966501143	5/370	31/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_168333	NEP/NS2 Interacts with the Cellular Export Machinery	-3.14283623174776	0.000763323553302966	0.0809122966501143	5/370	31/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_180910	Vpr-mediated nuclear import of PICs	-3.14283623174776	0.00102543914301094	0.0953825700108221	5/370	33/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_165054	Rev-mediated nuclear export of HIV RNA	-3.14283623174776	0.00117903844452043	0.0981970590222011	5/370	34/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_4085377	SUMOylation of SUMOylation proteins	-3.14283623174776	0.00117903844452043	0.0981970590222011	5/370	34/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_3371453	Regulation of HSF1-mediated heat shock response	-3.7526864088636	0.00125156079998338	0.101813015775392	7/370	69/15524	7266/9532/9818/11097/23511/55746/57122	DNAJC7/BAG2/NUP58/NUP42/NUP188/NUP133/NUP107	7
REACTOME_3301854	Nuclear Pore Complex (NPC) Disassembly	-3.14283623174776	0.00134901572190637	0.104491930996403	5/370	35/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_191859	snRNP Assembly	-3.40633524885006	0.00157072629281769	0.104491930996403	6/370	53/15524	6636/9818/11097/23511/55746/57122	SNRPF/NUP58/NUP42/NUP188/NUP133/NUP107	6
REACTOME_1169408	ISG15 antiviral mechanism	-3.67237738420421	0.00160807262638286	0.104491930996403	7/370	72/15524	3838/9775/9818/11097/23511/55746/57122	KPNA2/EIF4A3/NUP58/NUP42/NUP188/NUP133/NUP107	7
REACTOME_3232142	SUMOylation of ubiquitinylation proteins	-3.14283623174776	0.00174224595679642	0.106918883453928	5/370	37/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_3108214	SUMOylation of DNA damage response and repair proteins	-3.55835955804876	0.00220091546736513	0.126209873849889	7/370	76/15524	1069/8924/9818/11097/23511/55746/57122	CETN2/HERC2/NUP58/NUP42/NUP188/NUP133/NUP107	7
REACTOME_5578749	Transcriptional regulation by small RNAs	-4.57961885543896	0.00267215837520316	0.130891876854838	8/370	100/15524	5436/8340/9818/11097/23511/55746/57122/333932	POLR2G/H2BC13/NUP58/NUP42/NUP188/NUP133/NUP107/H3C15	8
REACTOME_9664422	FCGR3A-mediated phagocytosis	-3.59548902710063	0.00273602346205665	0.130891876854838	6/370	59/15524	71/1398/7525/8936/10094/10096	ACTG1/CRK/YES1/WASF1/ARPC3/ACTR3	6
REACTOME_2426168	Activation of gene expression by SREBF (SREBP)	-2.80803668856613	0.00308550534578079	0.130891876854838	5/370	42/15524	31/6309/6604/6667/79718	ACACA/SC5D/SMARCD3/SP1/TBL1XR1	5
REACTOME_1971475	A tetrasaccharide linker sequence is required for GAG synthesis	-2.68482248046717	0.0031336298403668	0.130891876854838	4/370	26/15524	6383/11285/26229/64132	SDC2/B4GALT7/B3GAT3/XYLT2	4
REACTOME_140342	Apoptosis induced DNA fragmentation	-2.223337103082	0.00321526879326675	0.130891876854838	3/370	13/15524	1676/3005/3009	DFFA/H1-0/H1-5	3
REACTOME_5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	-2.0087694090611	0.00321526879326675	0.130891876854838	3/370	13/15524	160/1213/7474	AP2A1/CLTC/WNT5A	3
REACTOME_4420097	VEGFA-VEGFR2 Pathway	-3.37439401077399	0.00351716576226298	0.137273956088226	6/370	62/15524	71/558/1398/1432/8936/9564	ACTG1/AXL/CRK/MAPK14/WASF1/BCAR1	6
REACTOME_9615933	Postmitotic nuclear pore complex (NPC) reformation	-2.86515366356806	0.00361040707836385	0.137273956088226	4/370	27/15524	9818/23511/55746/57122	NUP58/NUP188/NUP133/NUP107	4
REACTOME_186763	Downstream signal transduction	-2.91578099746132	0.00470681128104259	0.166307331930172	4/370	29/15524	1398/1399/6654/9564	CRK/CRKL/SOS1/BCAR1	4
REACTOME_5099900	WNT5A-dependent internalization of FZD4	-2.0087694090611	0.00493758469208124	0.171006646068319	3/370	15/15524	160/1213/7474	AP2A1/CLTC/WNT5A	3
REACTOME_4570464	SUMOylation of RNA binding proteins	-3.14283623174776	0.00505064777031089	0.171774911855298	5/370	47/15524	9818/11097/23511/55746/57122	NUP58/NUP42/NUP188/NUP133/NUP107	5
REACTOME_1433559	Regulation of KIT signaling	-2.01080595344054	0.00597078361351218	0.183208781404084	3/370	16/15524	6654/7525/10603	SOS1/YES1/SH2B2	3
