ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0070862	negative regulation of protein exit from endoplasmic reticulum	0.665873278236915	0.000193249162586895	0.00180342647045764	1/3	1/15524	3638	INSIG1	1
GO:1901303	negative regulation of cargo loading into COPII-coated vesicle	0.665873278236915	0.000193249162586895	0.00180342647045764	1/3	1/15524	3638	INSIG1	1
GO:0032277	negative regulation of gonadotropin secretion	0.847471074380165	0.000386473426744138	0.00180342647045764	1/3	2/15524	64111	NPVF	1
GO:0036316	SREBP-SCAP complex retention in endoplasmic reticulum	0.665873278236915	0.000386473426744138	0.00180342647045764	1/3	2/15524	3638	INSIG1	1
GO:0036315	cellular response to sterol	0.665873278236915	0.00057967279407567	0.00180342647045764	1/3	3/15524	3638	INSIG1	1
GO:2001255	positive regulation of histone H3-K36 trimethylation	0.672341597796143	0.00057967279407567	0.00180342647045764	1/3	3/15524	54904	NSD3	1
GO:0010894	negative regulation of steroid biosynthetic process	0.665873278236915	0.00115912153115694	0.00295049117021766	1/3	6/15524	3638	INSIG1	1
GO:0060363	cranial suture morphogenesis	0.665873278236915	0.00115912153115694	0.00295049117021766	1/3	6/15524	3638	INSIG1	1
GO:0010452	histone H3-K36 methylation	0.672341597796143	0.00154529623449018	0.00360569121381042	1/3	8/15524	54904	NSD3	1
GO:0032933	SREBP signaling pathway	0.665873278236915	0.00173834625455349	0.0037441303944229	1/3	9/15524	3638	INSIG1	1
GO:0045717	negative regulation of fatty acid biosynthetic process	0.665873278236915	0.00251029749487419	0.00502059498974838	1/3	13/15524	3638	INSIG1	1
GO:0016126	sterol biosynthetic process	0.665873278236915	0.00328185066830111	0.00572299704238868	1/3	17/15524	3638	INSIG1	1
GO:0016571	histone methylation	0.672341597796143	0.00347467677573599	0.00572299704238868	1/3	18/15524	54904	NSD3	1
GO:0042474	middle ear morphogenesis	0.665873278236915	0.0038602543787285	0.00600484014468878	1/3	20/15524	3638	INSIG1	1
GO:0006641	triglyceride metabolic process	0.665873278236915	0.00617163153782652	0.00909503595048118	1/3	32/15524	3638	INSIG1	1
GO:0006695	cholesterol biosynthetic process	0.665873278236915	0.00771056157651184	0.0107947862071166	1/3	40/15524	3638	INSIG1	1
GO:0045599	negative regulation of fat cell differentiation	0.665873278236915	0.00886371595403457	0.0118182879387128	1/3	46/15524	3638	INSIG1	1
GO:0042472	inner ear morphogenesis	0.665873278236915	0.0109755113087512	0.0139688325747742	1/3	57/15524	3638	INSIG1	1
GO:0060021	roof of mouth development	0.665873278236915	0.0127011110013089	0.0148179628348604	1/3	66/15524	3638	INSIG1	1
GO:0042632	cholesterol homeostasis	0.665873278236915	0.0161462865737041	0.0173883086178352	1/3	84/15524	3638	INSIG1	1
GO:0032869	cellular response to insulin stimulus	0.665873278236915	0.0184386119586698	0.0191215235126946	1/3	96/15524	3638	INSIG1	1
GO:0007218	neuropeptide signaling pathway	0.847471074380165	0.0199648490274573	0.0199648490274573	1/3	104/15524	64111	NPVF	1
