ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	-2.83213674631432	0.000427373190407384	0.0745631226708644	3/367	7/15524	1398/6654/9564	CRK/SOS1/BCAR1	3
CORUM_6505	ERBB3-SPG1 complex	-1.85908164393859	0.00055740114705074	0.0745631226708644	2/367	2/15524	2065/3897	ERBB3/L1CAM	2
CORUM_7387	RSF complex	-2.68533235834649	0.00055740114705074	0.0745631226708644	2/367	2/15524	8467/51773	SMARCA5/RSF1	2
CORUM_921	Remodeling and spacing factor (RSF) complex	-2.68533235834649	0.00055740114705074	0.0745631226708644	2/367	2/15524	8467/51773	SMARCA5/RSF1	2
CORUM_2962	CRK-BCAR1-DOCK1 complex	-2.42733506421352	0.00164598885299689	0.102227664834343	2/367	3/15524	1398/9564	CRK/BCAR1	2
CORUM_5361	Cell division cycle complex (CDC27, CDC16, ANAPC7)	-2.26634980319254	0.00164598885299689	0.102227664834343	2/367	3/15524	996/8881	CDC27/CDC16	2
CORUM_6195	Stargazin-AP-2-AP-3a complex	-1.80506915984876	0.00164598885299689	0.102227664834343	2/367	3/15524	160/8943	AP2A1/AP3D1	2
CORUM_6780	RAD6A-KCMF1-UBR4 complex	-2.2070763628602	0.00164598885299689	0.102227664834343	2/367	3/15524	7319/56888	UBE2A/KCMF1	2
CORUM_6908	CTNNB1-FERMT2-YBX1 complex	-2.28283413275242	0.00164598885299689	0.102227664834343	2/367	3/15524	4904/10979	YBX1/FERMT2	2
CORUM_1347	NPC subcomplex (NUP98, NUP107, NUP133, NUP160)	-2.41982943330753	0.00324047071028571	0.128072240117883	2/367	4/15524	55746/57122	NUP133/NUP107	2
CORUM_234	HuCHRAC complex	-2.36967498379555	0.00324047071028571	0.128072240117883	2/367	4/15524	8467/54107	SMARCA5/POLE3	2
CORUM_2476	CRKL-PDGFRA-CRK-RAPGEF1 complex	-2.58298922290876	0.00324047071028571	0.128072240117883	2/367	4/15524	1398/1399	CRK/CRKL	2
CORUM_6164	ACK1 signaling complex	-2.42733506421352	0.00324047071028571	0.128072240117883	2/367	4/15524	1398/9564	CRK/BCAR1	2
CORUM_6860	E6AP-HERC2-MAPK6-NEURL4 complex	-1.92298472576435	0.00324047071028571	0.128072240117883	2/367	4/15524	8924/84461	HERC2/NEURL4	2
CORUM_6671	PI4K2A-WASH complex	-2.70068132156332	0.0039294736870146	0.142361557119133	3/367	14/15524	1213/8546/387680	CLTC/AP3B1/WASHC2A	3
CORUM_741	NCOR-HDAC3 complex	-2.48050579530455	0.00531644773324208	0.168096411056509	2/367	5/15524	9611/79718	NCOR1/TBL1XR1	2
CORUM_7593	AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex	-2.07211529871886	0.00531644773324208	0.168096411056509	2/367	5/15524	1432/5606	MAPK14/MAP2K3	2
CORUM_15	NCOR complex	-2.48050579530455	0.00785038643788483	0.210028031007411	2/367	6/15524	9611/79718	NCOR1/TBL1XR1	2
CORUM_2837	Profilin 1 complex	-2.38980690968358	0.00785038643788483	0.210028031007411	2/367	6/15524	71/1213	ACTG1/CLTC	2
CORUM_27	Arp2/3 protein complex	-2.35803073397878	0.0108195917368758	0.229433435249068	2/367	7/15524	10094/10096	ARPC3/ACTR3	2
CORUM_59	AP3 adaptor complex	-1.90208119296075	0.0108195917368758	0.229433435249068	2/367	7/15524	8546/8943	AP3B1/AP3D1	2
CORUM_814	Postsplicing complex	-1.97818969326915	0.0108195917368758	0.229433435249068	2/367	7/15524	5976/10482	UPF1/NXF1	2
CORUM_929	CEN complex	-3.44157639782271	0.0109705022368685	0.229433435249068	4/367	37/15524	8451/8467/51773/80829	CUL4A/SMARCA5/RSF1/ZFP91	4
CORUM_848	RICH1/AMOT polarity complex, Flag-Amot precipitated	-2.47124651231772	0.0142021806268264	0.232925642685765	2/367	8/15524	64398/154810	MPP5/AMOTL1	2
CORUM_93	Anaphase-promoting complex	-2.26634980319254	0.0142021806268264	0.232925642685765	2/367	8/15524	996/8881	CDC27/CDC16	2
CORUM_1003	RC complex (Replication competent complex)	-2.22061455692427	0.0179770566458034	0.232925642685765	2/367	9/15524	890/5981	CCNA2/RFC1	2
CORUM_6838	IGF2BP1 complex	-1.96794836511705	0.0179770566458034	0.232925642685765	2/367	9/15524	3192/4904	HNRNPU/YBX1	2
