ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_2500257	Resolution of Sister Chromatid Cohesion	-4.35692764830653	3.33531688257675e-05	0.0129481171090309	7/112	125/15524	332/6232/7514/9126/10726/79172/100527963	BIRC5/RPS27/XPO1/SMC3/NUDC/CENPO/PMF1-BGLAP	7
REACTOME_72764	Eukaryotic Translation Termination	-4.58229050410263	5.64247726886685e-05	0.0129481171090309	6/112	93/15524	2107/6168/6169/6232/7311/29104	ETF1/RPL37A/RPL38/RPS27/UBA52/N6AMT1	6
REACTOME_141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	-3.66447091663188	6.35888709387538e-05	0.0129481171090309	6/112	95/15524	332/6232/7514/10726/79172/100527963	BIRC5/RPS27/XPO1/NUDC/CENPO/PMF1-BGLAP	6
REACTOME_2467813	Separation of Sister Chromatids	-4.87860852450801	6.97743031279569e-05	0.0129481171090309	8/112	190/15524	332/6232/7311/7514/9126/10726/79172/100527963	BIRC5/RPS27/UBA52/XPO1/SMC3/NUDC/CENPO/PMF1-BGLAP	8
REACTOME_68877	Mitotic Prometaphase	-3.66447091663188	0.000158526986287096	0.0201139539284027	6/112	112/15524	332/6232/7514/10726/79172/100527963	BIRC5/RPS27/XPO1/NUDC/CENPO/PMF1-BGLAP	6
REACTOME_975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	-4.18114164696904	0.000183215219474643	0.0201139539284027	6/112	115/15524	2107/6168/6169/6232/7311/55110	ETF1/RPL37A/RPL38/RPS27/UBA52/MAGOHB	6
REACTOME_9648025	EML4 and NUDC in mitotic spindle formation	-3.66447091663188	0.000192086879237501	0.0201139539284027	6/112	116/15524	332/6232/7514/10726/79172/100527963	BIRC5/RPS27/XPO1/NUDC/CENPO/PMF1-BGLAP	6
REACTOME_6807505	RNA polymerase II transcribes snRNA genes	-2.89153071220191	0.000193692980870736	0.0201139539284027	5/112	74/15524	6619/6829/6877/8178/54973	SNAPC3/SUPT5H/TAF5/ELL/INTS11	5
REACTOME_3769402	Deactivation of the beta-catenin transactivating complex	-2.905029659663	0.00023261832349	0.020683808924095	4/112	42/15524	5929/7311/7514/57680	RBBP5/UBA52/XPO1/CHD8	4
REACTOME_9010553	Regulation of expression of SLITs and ROBOs	-4.41097910200589	0.000238843059169689	0.020683808924095	7/112	171/15524	2107/6168/6169/6232/7311/9978/55110	ETF1/RPL37A/RPL38/RPS27/UBA52/RBX1/MAGOHB	7
REACTOME_6791226	Major pathway of rRNA processing in the nucleolus and cytosol	-4.70198569294216	0.000360734389123475	0.0275643512630231	7/112	183/15524	6168/6169/6232/7311/10969/26354/51013	RPL37A/RPL38/RPS27/UBA52/EBNA1BP2/GNL3/EXOSC1	7
REACTOME_192823	Viral mRNA Translation	-3.98904018828029	0.000458123521155609	0.0314618973454481	5/112	89/15524	2926/6168/6169/6232/7311	GRSF1/RPL37A/RPL38/RPS27/UBA52	5
REACTOME_5663220	RHO GTPases Activate Formins	-3.66447091663188	0.000508511134949478	0.0314618973454481	6/112	139/15524	332/6232/7514/10726/79172/100527963	BIRC5/RPS27/XPO1/NUDC/CENPO/PMF1-BGLAP	6
REACTOME_2408557	Selenocysteine synthesis	-3.93435631352943	0.000560674829548767	0.0331053001629022	5/112	93/15524	6168/6169/6232/7311/118672	RPL37A/RPL38/RPS27/UBA52/PSTK	5
REACTOME_975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	-4.09715183522872	0.000617985838655573	0.0349027654092865	5/112	95/15524	2107/6168/6169/6232/7311	ETF1/RPL37A/RPL38/RPS27/UBA52	5
REACTOME_72689	Formation of a pool of free 40S subunits	-4.17726455106992	0.000816437218033104	0.0424220778490001	5/112	101/15524	6168/6169/6232/7311/8664	RPL37A/RPL38/RPS27/UBA52/EIF3D	5
REACTOME_5357956	TNFR1-induced NFkappaB signaling pathway	-2.48119033694151	0.00116512528798715	0.056055472188715	3/112	29/15524	7186/7311/10399	TRAF2/UBA52/RACK1	3
REACTOME_8949613	Cristae formation	-2.27368481297809	0.00116512528798715	0.056055472188715	3/112	29/15524	498/513/55735	ATP5F1A/ATP5F1D/DNAJC11	3
REACTOME_156827	L13a-mediated translational silencing of Ceruloplasmin expression	-4.17726455106992	0.00124796043202087	0.0569974913509356	5/112	111/15524	6168/6169/6232/7311/8664	RPL37A/RPL38/RPS27/UBA52/EIF3D	5
REACTOME_72706	GTP hydrolysis and joining of the 60S ribosomal subunit	-4.17726455106992	0.0012988685369617	0.0569974913509356	5/112	112/15524	6168/6169/6232/7311/8664	RPL37A/RPL38/RPS27/UBA52/EIF3D	5
REACTOME_5358493	Synthesis of diphthamide-EEF2	-1.75956738602612	0.00140409524498071	0.0569974913509356	2/112	8/15524	1801/51611	DPH1/DPH5	2
REACTOME_936440	Negative regulators of DDX58/IFIH1 signaling	-2.07295341452749	0.00185877762260367	0.0670708925489493	3/112	34/15524	7311/7323/9474	UBA52/UBE2D3/ATG5	3
REACTOME_5357905	Regulation of TNFR1 signaling	-2.48119033694151	0.00202243249285988	0.0710037786006754	3/112	35/15524	7186/7311/10399	TRAF2/UBA52/RACK1	3
REACTOME_390471	Association of TriC/CCT with target proteins during biosynthesis	-2.31834149573503	0.00276556897874696	0.0876213195949343	3/112	39/15524	22948/26272/55135	CCT5/FBXO4/WRAP53	3
REACTOME_156902	Peptide chain elongation	-3.82285546759702	0.00391520122995359	0.105955133285619	4/112	89/15524	6168/6169/6232/7311	RPL37A/RPL38/RPS27/UBA52	4
REACTOME_6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	-2.57950746676382	0.00416171566307346	0.110327931557804	3/112	45/15524	7311/8178/9978	UBA52/ELL/RBX1	3
REACTOME_2122947	NOTCH1 Intracellular Domain Regulates Transcription	-2.34008402437261	0.00470631445112726	0.113213008741006	3/112	47/15524	7311/9978/26508	UBA52/RBX1/HEYL	3
REACTOME_1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	-0.64054265611284	0.00509450839532273	0.118174400098647	2/112	15/15524	22937/3638	SCAP/INSIG1	2
REACTOME_163210	Formation of ATP by chemiosmotic coupling	-1.63858564553556	0.00579498443318495	0.119806285917855	2/112	16/15524	498/513	ATP5F1A/ATP5F1D	2
REACTOME_9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	-3.82285546759702	0.00613010739859563	0.119806285917855	4/112	101/15524	6168/6169/6232/7311	RPL37A/RPL38/RPS27/UBA52	4
REACTOME_2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	-2.34008402437261	0.00806218912934242	0.119806285917855	3/112	57/15524	7311/9978/26508	UBA52/RBX1/HEYL	3
REACTOME_2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	-2.34008402437261	0.00806218912934242	0.119806285917855	3/112	57/15524	7311/9978/26508	UBA52/RBX1/HEYL	3
REACTOME_168927	TICAM1, RIP1-mediated IKK complex recruitment	-1.87092035956799	0.00900467915160233	0.119806285917855	2/112	20/15524	7311/7323	UBA52/UBE2D3	2
REACTOME_6807004	Negative regulation of MET activity	-1.83296481248926	0.00990598592283792	0.119806285917855	2/112	21/15524	5795/7311	PTPRJ/UBA52	2
REACTOME_72163	mRNA Splicing - Major Pathway	-2.30113935819121	0.0100327598629946	0.119806285917855	5/112	181/15524	1479/5356/6631/55110/55696	CSTF3/PLRG1/SNRPC/MAGOHB/RBM22	5
REACTOME_9033241	Peroxisomal protein import	-2.16228808232285	0.0106065574120173	0.119806285917855	3/112	63/15524	51/7311/7323	ACOX1/UBA52/UBE2D3	3
REACTOME_5205685	PINK1-PRKN Mediated Mitophagy	-1.8698848286906	0.010845643143125	0.119806285917855	2/112	22/15524	7311/9474	UBA52/ATG5	2
REACTOME_2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	-1.87092035956799	0.0118230607622418	0.119806285917855	2/112	23/15524	7311/7323	UBA52/UBE2D3	2
REACTOME_5675482	Regulation of necroptotic cell death	-1.84914080692083	0.0118230607622418	0.119806285917855	2/112	23/15524	7186/7311	TRAF2/UBA52	2
REACTOME_1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	-2.26426210380041	0.0120337889630469	0.119806285917855	3/112	66/15524	7311/7323/9978	UBA52/UBE2D3/RBX1	3
REACTOME_937041	IKK complex recruitment mediated by RIP1	-1.87092035956799	0.0138888488593882	0.119806285917855	2/112	25/15524	7311/7323	UBA52/UBE2D3	2
REACTOME_1483101	Synthesis of PS	-1.48440771349862	0.0143776812600291	0.119806285917855	1/112	2/15524	81490	PTDSS2	1
REACTOME_5633231	Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)	-1.56617079889807	0.0143776812600291	0.119806285917855	1/112	2/15524	79868	ALG13	1
REACTOME_2173788	Downregulation of TGF-beta receptor signaling	-2.51767620094521	0.0149760709206174	0.119806285917855	2/112	26/15524	7311/7514	UBA52/XPO1	2
REACTOME_76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	-1.47203219538414	0.0172563466607847	0.119806285917855	2/112	28/15524	6619/10621	SNAPC3/POLR3F	2
REACTOME_162588	Budding and maturation of HIV virion	-1.91878025842568	0.0184482889846956	0.119806285917855	2/112	29/15524	7311/79643	UBA52/CHMP6	2
REACTOME_110314	Recognition of DNA damage by PCNA-containing replication complex	-2.09487896497116	0.0196740367995385	0.119806285917855	2/112	30/15524	7311/9978	UBA52/RBX1	2
REACTOME_5627083	RHO GTPases regulate CFTR trafficking	-0.993608815426997	0.021489503170793	0.119806285917855	1/112	3/15524	23433	RHOQ	1
REACTOME_674695	RNA Polymerase II Pre-transcription Events	-2.20022744565093	0.0221329209815455	0.120412509593623	3/112	83/15524	6829/6877/8178	SUPT5H/TAF5/ELL	3
