ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0042407	cristae formation	-2.95555972944975	5.47491476376884e-05	0.0122406737073865	4/109	30/15524	498/513/10939/55735	ATP5F1A/ATP5F1D/AFG3L2/DNAJC11	4
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	-4.18114164696904	0.000173528488116159	0.0184663232770279	6/109	117/15524	2107/6168/6169/6232/7311/55110	ETF1/RPL37A/RPL38/RPS27/UBA52/MAGOHB	6
GO:0006413	translational initiation	-4.64514490755993	0.000307408889862799	0.0245350720221746	6/109	130/15524	6168/6169/6232/7311/8664/220064	RPL37A/RPL38/RPS27/UBA52/EIF3D/LTO1	6
GO:0070901	mitochondrial tRNA methylation	-2.2406716912419	0.000481806635351911	0.0301121109661035	2/109	5/15524	3028/57570	HSD17B10/TRMT5	2
GO:0006415	translational termination	-2.06671920595038	0.000719393923575155	0.0384156585698421	2/109	6/15524	2107/29104	ETF1/N6AMT1	2
GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	-1.75956738602612	0.00133058367535281	0.0548114630137271	2/109	8/15524	1801/51611	DPH1/DPH5	2
GO:0042796	snRNA transcription by RNA polymerase III	-1.65386807703261	0.00133058367535281	0.0548114630137271	2/109	8/15524	6619/8178	SNAPC3/ELL	2
GO:0042795	snRNA transcription by RNA polymerase II	-2.47562532914047	0.0014769546158071	0.058939720137052	4/109	70/15524	6619/6877/8178/54973	SNAPC3/TAF5/ELL/INTS11	4
GO:0034504	protein localization to nucleus	-2.23483655230657	0.00171976925314455	0.0645925098901644	3/109	34/15524	5356/7514/26092	PLRG1/XPO1/TOR1AIP1	3
GO:1904851	positive regulation of establishment of protein localization to telomere	-2.21538469530034	0.00211889577450582	0.0751619417789982	2/109	10/15524	22948/55135	CCT5/WRAP53	2
GO:0045945	positive regulation of transcription by RNA polymerase III	-1.48948590130153	0.00257791049906418	0.0844100437770502	2/109	11/15524	8178/57680	ELL/CHD8	2
GO:0090307	mitotic spindle assembly	-2.76857231572013	0.00295654011001805	0.0936267231639285	3/109	41/15524	332/9126/56647	BIRC5/SMC3/BCCIP	3
GO:0006364	rRNA processing	-3.63392205214284	0.00306407413799928	0.0936267231639285	5/109	140/15524	6232/10248/10969/50628/51013	RPS27/POP7/EBNA1BP2/GEMIN4/EXOSC1	5
GO:0015986	ATP synthesis coupled proton transport	-1.63858564553556	0.0030793440664722	0.0936267231639285	2/109	12/15524	498/513	ATP5F1A/ATP5F1D	2
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	-3.82285546759702	0.00355278449236685	0.100566227188289	4/109	89/15524	6168/6169/6232/7311	RPL37A/RPL38/RPS27/UBA52	4
GO:0031115	negative regulation of microtubule polymerization	-1.61285604365447	0.00362258923309421	0.100566227188289	2/109	13/15524	1859/6904	DYRK1A/TBCD	2
GO:0045116	protein neddylation	-1.94422592442104	0.00362258923309421	0.100566227188289	2/109	13/15524	9039/9978	UBA3/RBX1	2
GO:0033120	positive regulation of RNA splicing	-1.26556905117567	0.00420704505534074	0.107130579853577	2/109	14/15524	1859/55696	DYRK1A/RBM22	2
GO:0090110	cargo loading into COPII-coated vesicle	-1.81126877039673	0.00420704505534074	0.107130579853577	2/109	14/15524	10483/22937	SEC23B/SCAP	2
GO:0050765	negative regulation of phagocytosis	-1.63597176517569	0.00483211683246163	0.116426664057613	2/109	15/15524	9474/10399	ATG5/RACK1	2
GO:0006457	protein folding	-3.39738115473423	0.00540049893724924	0.117915826866555	5/109	160/15524	6904/10726/22948/23759/644591	TBCD/NUDC/CCT5/PPIL2/PPIAL4G	5
GO:0032786	positive regulation of DNA-templated transcription, elongation	-1.84382953564645	0.00549721604982039	0.117915826866555	2/109	16/15524	6829/8178	SUPT5H/ELL	2
GO:0006412	translation	-3.48897244828593	0.00678083018749384	0.117915826866555	5/109	169/15524	6168/6169/6232/64745/118672	RPL37A/RPL38/RPS27/METTL17/PSTK	5
GO:0008033	tRNA processing	-1.88026519063094	0.00694517334025785	0.117915826866555	2/109	18/15524	2926/10248	GRSF1/POP7	2
GO:0006557	S-adenosylmethioninamine biosynthetic process	-0.835559228650138	0.00702138624065962	0.117915826866555	1/109	1/15524	262	AMD1	1
GO:0032203	telomere formation via telomerase	-1.04817630853994	0.00702138624065962	0.117915826866555	1/109	1/15524	55135	WRAP53	1
GO:0034337	RNA folding	-1.04817630853994	0.00702138624065962	0.117915826866555	1/109	1/15524	55135	WRAP53	1
GO:0034463	90S preribosome assembly	-1.54898071625344	0.00702138624065962	0.117915826866555	1/109	1/15524	6169	RPL38	1
GO:0046084	adenine biosynthetic process	-1.35988980716253	0.00702138624065962	0.117915826866555	1/109	1/15524	2618	GART	1
GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion	-0.676628099173554	0.00702138624065962	0.117915826866555	1/109	1/15524	1824	DSC2	1
GO:0090671	telomerase RNA localization to Cajal body	-1.04817630853994	0.00702138624065962	0.117915826866555	1/109	1/15524	55135	WRAP53	1
GO:1900102	negative regulation of endoplasmic reticulum unfolded protein response	-1.41046831955923	0.00702138624065962	0.117915826866555	1/109	1/15524	10399	RACK1	1
GO:1903919	negative regulation of actin filament severing	-1.03447933884298	0.00702138624065962	0.117915826866555	1/109	1/15524	4627	MYH9	1
GO:1904867	protein localization to Cajal body	-1.04817630853994	0.00702138624065962	0.117915826866555	1/109	1/15524	55135	WRAP53	1
GO:1904902	ESCRT III complex assembly	-0.812727272727273	0.00702138624065962	0.117915826866555	1/109	1/15524	79643	CHMP6	1
GO:0019083	viral transcription	-3.82285546759702	0.00727649056012679	0.117915826866555	4/109	109/15524	6168/6169/6232/7311	RPL37A/RPL38/RPS27/UBA52	4
GO:0032259	methylation	-2.375893159552	0.00748358829436407	0.117915826866555	3/109	57/15524	29104/51611/64745	N6AMT1/DPH5/METTL17	3
GO:0042776	mitochondrial ATP synthesis coupled proton transport	-1.63858564553556	0.00772688481076152	0.117915826866555	2/109	19/15524	498/513	ATP5F1A/ATP5F1D	2
GO:0002756	MyD88-independent toll-like receptor signaling pathway	-1.87092035956799	0.0085463304062092	0.117915826866555	2/109	20/15524	7311/7323	UBA52/UBE2D3	2
GO:0046827	positive regulation of protein export from nucleus	-1.29637609477819	0.0085463304062092	0.117915826866555	2/109	20/15524	51496/55696	CTDSPL2/RBM22	2
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	-2.09487896497116	0.0102961961540793	0.117915826866555	2/109	22/15524	7311/9978	UBA52/RBX1	2
GO:0006625	protein targeting to peroxisome	-2.16228808232285	0.010729772072712	0.117915826866555	3/109	65/15524	51/7311/7323	ACOX1/UBA52/UBE2D3	3
GO:0000715	nucleotide-excision repair, DNA damage recognition	-2.09487896497116	0.0112255169832408	0.117915826866555	2/109	23/15524	7311/9978	UBA52/RBX1	2
GO:0006383	transcription by RNA polymerase III	-1.47203219538414	0.0112255169832408	0.117915826866555	2/109	23/15524	6619/10621	SNAPC3/POLR3F	2
GO:0007369	gastrulation	-1.75583446423422	0.0112255169832408	0.117915826866555	2/109	23/15524	10399/55997	RACK1/CFC1	2
GO:0050860	negative regulation of T cell receptor signaling pathway	-1.82603343645508	0.0112255169832408	0.117915826866555	2/109	23/15524	84174/5795	SLA2/PTPRJ	2
GO:0002191	cap-dependent translational initiation	-1.29608815426997	0.013993921762129	0.117915826866555	1/109	2/15524	8664	EIF3D	1
GO:0002939	tRNA N1-guanine methylation	-1.4131129476584	0.013993921762129	0.117915826866555	1/109	2/15524	57570	TRMT5	1
GO:0006041	glucosamine metabolic process	-0.729146005509642	0.013993921762129	0.117915826866555	1/109	2/15524	64841	GNPNAT1	1
GO:0006597	spermine biosynthetic process	-0.835559228650138	0.013993921762129	0.117915826866555	1/109	2/15524	262	AMD1	1
GO:0018283	iron incorporation into metallo-sulfur cluster	-0.981564738292011	0.013993921762129	0.117915826866555	1/109	2/15524	9054	NFS1	1
GO:0018364	peptidyl-glutamine methylation	-1.58347107438017	0.013993921762129	0.117915826866555	1/109	2/15524	29104	N6AMT1	1
GO:0018872	arsonoacetate metabolic process	-1.58347107438017	0.013993921762129	0.117915826866555	1/109	2/15524	29104	N6AMT1	1
GO:0019883	antigen processing and presentation of endogenous antigen	-0.748209366391185	0.013993921762129	0.117915826866555	1/109	2/15524	9474	ATG5	1
GO:0022618	ribonucleoprotein complex assembly	-1.54898071625344	0.013993921762129	0.117915826866555	1/109	2/15524	6169	RPL38	1
GO:0031503	protein-containing complex localization	-1.27493112947658	0.013993921762129	0.117915826866555	1/109	2/15524	332	BIRC5	1
GO:0032775	DNA methylation on adenine	-1.58347107438017	0.013993921762129	0.117915826866555	1/109	2/15524	29104	N6AMT1	1
GO:0032785	negative regulation of DNA-templated transcription, elongation	-1.19415977961433	0.013993921762129	0.117915826866555	1/109	2/15524	6829	SUPT5H	1
GO:0032796	uropod organization	-1.03447933884298	0.013993921762129	0.117915826866555	1/109	2/15524	4627	MYH9	1
GO:0046601	positive regulation of centriole replication	-1.06379063360882	0.013993921762129	0.117915826866555	1/109	2/15524	10733	PLK4	1
GO:0048840	otolith development	-0.748209366391185	0.013993921762129	0.117915826866555	1/109	2/15524	9474	ATG5	1
GO:0061101	neuroendocrine cell differentiation	-1.03612121212121	0.013993921762129	0.117915826866555	1/109	2/15524	56647	BCCIP	1
GO:1903541	regulation of exosomal secretion	-0.812727272727273	0.013993921762129	0.117915826866555	1/109	2/15524	79643	CHMP6	1
GO:1903923	positive regulation of protein processing in phagocytic vesicle	-1.03447933884298	0.013993921762129	0.117915826866555	1/109	2/15524	4627	MYH9	1
GO:1904816	positive regulation of protein localization to chromosome, telomeric region	-1.36187327823691	0.013993921762129	0.117915826866555	1/109	2/15524	26354	GNL3	1
GO:2000640	positive regulation of SREBP signaling pathway	-0.712088154269973	0.013993921762129	0.117915826866555	1/109	2/15524	79794	SPRING1	1
GO:0006754	ATP biosynthetic process	-1.63858564553556	0.0142245560879243	0.117915826866555	2/109	26/15524	498/513	ATP5F1A/ATP5F1D	2
GO:0070911	global genome nucleotide-excision repair	-2.09487896497116	0.0142245560879243	0.117915826866555	2/109	26/15524	7311/9978	UBA52/RBX1	2
