ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa00534	Glycosaminoglycan biosynthesis	-3.4599471508548	0.000210830815429287	0.0679445754680563	5/367	24/15524	2137/3340/11285/26229/64132	EXTL3/NDST1/B4GALT7/B3GAT3/XYLT2	5
KEGG_hsa05100	Bacterial invasion of epithelial cells	-5.38957338045812	0.000214890836730483	0.0679445754680563	8/367	69/15524	71/1213/1398/1399/8936/9564/10094/10096	ACTG1/CLTC/CRK/CRKL/WASF1/BCAR1/ARPC3/ACTR3	8
KEGG_hsa05135	Yersinia infection	-6.42910830658431	0.000340510699520165	0.0745631226708644	11/367	134/15524	71/1147/1398/1399/1432/3725/5586/5606/9564/10094/10096	ACTG1/CHUK/CRK/CRKL/MAPK14/JUN/PKN2/MAP2K3/BCAR1/ARPC3/ACTR3	11
KEGG_hsa00600	Sphingolipid metabolism	-3.6793292960446	0.000993510571968332	0.0909323623501541	6/367	49/15524	2531/5660/7357/29956/56624/130367	KDSR/PSAP/UGCG/CERS2/ASAH2/SGPP2	6
KEGG_hsa05110	Vibrio cholerae infection	-4.40698652358983	0.00110686986231338	0.0941604608874053	6/367	50/15524	71/375/526/529/10312/23480	ACTG1/ARF1/ATP6V1B2/ATP6V1E1/TCIRG1/SEC61G	6
KEGG_hsa04721	Synaptic vesicle cycle	-4.25659031199898	0.00244069702032103	0.128072240117883	7/367	78/15524	160/526/529/1213/6531/6844/10312	AP2A1/ATP6V1B2/ATP6V1E1/CLTC/SLC6A3/VAMP2/TCIRG1	7
KEGG_hsa04910	Insulin signaling pathway	-5.46166078745907	0.00503783090832185	0.168096411056509	9/367	136/15524	31/1398/1399/2645/3632/5573/5584/6654/10603	ACACA/CRK/CRKL/GCK/INPP5A/PRKAR1A/PRKCI/SOS1/SH2B2	9
KEGG_hsa05120	Epithelial cell signaling in Helicobacter pylori infection	-4.15593619176065	0.0061602421962596	0.184701054815439	6/367	70/15524	526/529/1147/1432/3725/10312	ATP6V1B2/ATP6V1E1/CHUK/MAPK14/JUN/TCIRG1	6
KEGG_hsa04666	Fc gamma R-mediated phagocytosis	-4.54613433040639	0.00768644609705136	0.210028031007411	7/367	96/15524	1398/1399/8936/10094/10096/55616/123745	CRK/CRKL/WASF1/ARPC3/ACTR3/ASAP3/PLA2G4E	7
KEGG_hsa04150	mTOR signaling pathway	-4.76938306055686	0.0110367622454594	0.229433435249068	9/367	154/15524	526/529/1147/6502/6654/6794/7474/201163/253260	ATP6V1B2/ATP6V1E1/CHUK/SKP2/SOS1/STK11/WNT5A/FLCN/RICTOR	9
KEGG_hsa00532	Glycosaminoglycan biosynthesis	-2.43508649106593	0.0110824661074881	0.229433435249068	3/367	20/15524	11285/26229/64132	B4GALT7/B3GAT3/XYLT2	3
KEGG_hsa04964	Proximal tubule bicarbonate reclamation	-2.2202487233921	0.0163428266273004	0.232925642685765	3/367	23/15524	1468/6550/27165	SLC25A10/SLC9A3/GLS2	3
KEGG_hsa03013	RNA transport	-5.43890771093641	0.0166976248197687	0.232925642685765	9/367	165/15524	5976/9775/9818/10482/11097/23511/55746/57122/79228	UPF1/EIF4A3/NUP58/NXF1/NUP42/NUP188/NUP133/NUP107/THOC6	9
KEGG_hsa04120	Ubiquitin mediated proteolysis	-4.35734568783455	0.0168415575001616	0.232925642685765	8/367	138/15524	996/6502/7319/8451/8881/8924/11059/118424	CDC27/SKP2/UBE2A/CUL4A/CDC16/HERC2/WWP1/UBE2J2	8
KEGG_hsa04530	Tight junction	-5.64395443939652	0.0192069686261975	0.232925642685765	9/367	169/15524	71/3725/5584/6794/10094/10096/64398/103910/154810	ACTG1/JUN/PRKCI/STK11/ARPC3/ACTR3/MPP5/MYL12B/AMOTL1	9
KEGG_hsa05211	Renal cell carcinoma	-3.88703749209662	0.0222392537642363	0.232925642685765	5/367	68/15524	1398/1399/3725/6654/201163	CRK/CRKL/JUN/SOS1/FLCN	5
KEGG_hsa03420	Nucleotide excision repair	-2.72156665513112	0.0229856814732152	0.232925642685765	4/367	46/15524	1069/5981/8451/54107	CETN2/RFC1/CUL4A/POLE3	4
KEGG_hsa00190	Oxidative phosphorylation	-4.465301698231	0.0238556427263075	0.234378320344908	7/367	120/15524	522/526/529/1345/4704/6390/10312	ATP5PF/ATP6V1B2/ATP6V1E1/COX6C/NDUFA9/SDHB/TCIRG1	7
KEGG_hsa04966	Collecting duct acid secretion	-2.7826918519774	0.0251886800489341	0.244028493621707	3/367	27/15524	526/529/10312	ATP6V1B2/ATP6V1E1/TCIRG1	3
KEGG_hsa05030	Cocaine addiction	-3.54332615029699	0.0264266590923051	0.249582300853323	4/367	48/15524	2904/2905/3725/6531	GRIN2B/GRIN2C/JUN/SLC6A3	4
