ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_7368	Ubiquitin E3 ligase (CUL3, KEAP1, RBX1)	2.27060800166527	4.53801392248601e-06	0.00633960544971295	3/258	3/15524	8452/9817/9978	CUL3/KEAP1/RBX1	3
CORUM_2754	JUND-FOSB-SMAD3-SMAD4 complex	1.67563478746894	1.79283857813878e-05	0.0166973032910658	3/258	4/15524	3727/4088/4089	JUND/SMAD3/SMAD4	3
CORUM_1117	CRM1-Survivin mitotic complex	1.57062692433041	0.000275152547284483	0.055572957180706	2/258	2/15524	332/7514	BIRC5/XPO1	2
CORUM_1116	CRM1-Survivin-AuroraB mitotic complex	1.57062692433041	0.000816381614008478	0.055572957180706	2/258	3/15524	332/7514	BIRC5/XPO1	2
CORUM_1828	TGF-beta receptor I-Axin-SMAD3 complex	1.56691380808221	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/7046	SMAD3/TGFBR1	2
CORUM_222	CAND1-CUL3-RBX1 complex	1.2115240579512	0.000816381614008478	0.055572957180706	2/258	3/15524	8452/9978	CUL3/RBX1	2
CORUM_2581	RasGAP-AURKA-survivin complex	1.74610665410785	0.000816381614008478	0.055572957180706	2/258	3/15524	332/5921	BIRC5/RASA1	2
CORUM_2705	SMAD3-SMAD4-CTCF protein-DNA complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
CORUM_2706	SMAD3-SMAD4-SP1 complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
CORUM_2708	SMAD3-SMAD4-cJUN complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
CORUM_2760	SMAD3-SMAD4-FOXO3 complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
CORUM_2761	SMAD3-SMAD4-FOXO1 complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
CORUM_2762	SMAD3-SMAD4-FOXO4 complex	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
