ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_2173789	TGF-beta receptor signaling activates SMADs	3.15456817226779	8.78238326437261e-07	0.00245379788406571	5/258	12/15524	867/4088/4089/5045/7046	CBL/SMAD3/SMAD4/FURIN/TGFBR1	5
REACTOME_2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	2.55153547392863	3.21207811462893e-05	0.0224363656306831	5/258	23/15524	3065/4088/4089/7311/7323	HDAC1/SMAD3/SMAD4/UBA52/UBE2D3	5
REACTOME_5658442	Regulation of RAS by GAPs	3.46739860959834	0.000131893900407327	0.0549224792211657	7/258	68/15524	4763/5921/5922/7311/8452/9978/200734	NF1/RASA1/RASA2/UBA52/CUL3/RBX1/SPRED2	7
REACTOME_2408557	Selenocysteine synthesis	3.25291355211372	0.00015725835138487	0.0549224792211657	8/258	93/15524	6155/6168/6169/6232/7311/51091/79048/118672	RPL27/RPL37A/RPL38/RPS27/UBA52/SEPSECS/SECISBP2/PSTK	8
REACTOME_1181150	Signaling by NODAL	2.60589083761441	0.000292787142551393	0.055572957180706	4/258	20/15524	4088/4089/5045/55997	SMAD3/SMAD4/FURIN/CFC1	4
REACTOME_8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	1.80522117230939	0.000353916690361092	0.055572957180706	3/258	9/15524	867/5753/7311	CBL/PTK6/UBA52	3
REACTOME_3769402	Deactivation of the beta-catenin transactivating complex	2.46195221723734	0.000627758342315668	0.055572957180706	5/258	42/15524	3065/5929/7311/7514/57680	HDAC1/RBBP5/UBA52/XPO1/CHD8	5
REACTOME_3311021	SMAD4 MH2 Domain Mutants in Cancer	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
REACTOME_3315487	SMAD2/3 MH2 Domain Mutants in Cancer	1.35104791494835	0.000816381614008478	0.055572957180706	2/258	3/15524	4088/4089	SMAD3/SMAD4	2
REACTOME_2173788	Downregulation of TGF-beta receptor signaling	2.36251686790628	0.00083538446728334	0.055572957180706	4/258	26/15524	4088/7046/7311/7514	SMAD3/TGFBR1/UBA52/XPO1	4
REACTOME_5210891	Uptake and function of anthrax toxins	2.58758640039518	0.000893264791321517	0.0576022772981607	3/258	12/15524	5045/5609/6416	FURIN/MAP2K7/MAP2K4	3
