ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_287	ARC-L complex	-2.95880099627984	2.42597184705353e-05	0.00627402528635605	6/807	13/15524	892/9282/9439/9443/9969/81857	CCNC/MED14/MED23/MED7/MED13/MED25	6
CORUM_288	ARC complex	-2.95880099627984	4.05884527243056e-05	0.007872710240918	6/807	14/15524	892/9282/9439/9443/9969/81857	CCNC/MED14/MED23/MED7/MED13/MED25	6
CORUM_548	DRIP complex	-2.60819784182791	4.05884527243056e-05	0.007872710240918	6/807	14/15524	7421/9282/9439/9443/9969/29079	VDR/MED14/MED23/MED7/MED13/MED4	6
CORUM_549	DRIP complex	-2.60819784182791	4.05884527243056e-05	0.007872710240918	6/807	14/15524	7421/9282/9439/9443/9969/29079	VDR/MED14/MED23/MED7/MED13/MED4	6
CORUM_232	ARC complex	-2.57072452329081	6.46769327726035e-05	0.0100360120539431	6/807	15/15524	9282/9439/9443/9969/29079/81857	MED14/MED23/MED7/MED13/MED4/MED25	6
CORUM_895	hMediator complex (MED23, CDK8, CCNC, MED7)	-2.18561446174691	0.000139983705735209	0.0185427196548273	3/807	3/15524	892/9439/9443	CCNC/MED23/MED7	3
CORUM_909	ARC92-Mediator complex	-2.28173382134378	0.00021860078657737	0.0252600185510999	5/807	12/15524	9282/9439/9443/9969/81857	MED14/MED23/MED7/MED13/MED25	5
CORUM_7480	HDAC3-H1.3-SMRT-N-Cor complex	-2.59544296336675	0.000538181024974639	0.0495400194345299	3/807	4/15524	8841/9611/9612	HDAC3/NCOR1/NCOR2	3
CORUM_898	Mediator complex 1	-2.16154212850443	0.000538181024974639	0.0495400194345299	3/807	4/15524	892/9282/9439	CCNC/MED14/MED23	3
CORUM_230	Mediator complex	-3.20446542201232	0.000710921316731531	0.0632953060847368	7/807	30/15524	892/9282/9439/9443/9969/29079/81857	CCNC/MED14/MED23/MED7/MED13/MED4/MED25	7
CORUM_87	Nup 107-160 subcomplex	-3.00413071010984	0.000740151697135136	0.0638057756689036	4/807	9/15524	55746/57122/79902/348995	NUP133/NUP107/NUP85/NUP43	4
CORUM_7581	ESR1-TRAP/Mediator coactivator-complex	-2.72882790386977	0.00101294624267265	0.082109120059032	5/807	16/15524	892/9282/9439/9443/9969	CCNC/MED14/MED23/MED7/MED13	5
CORUM_7582	ESR2-TRAP/Mediator coactivator complex	-2.72882790386977	0.00101294624267265	0.082109120059032	5/807	16/15524	892/9282/9439/9443/9969	CCNC/MED14/MED23/MED7/MED13	5
CORUM_1227	H2AX complex II	-2.21783214209541	0.00118298028695689	0.0891745698030436	4/807	10/15524	3018/4869/8342/128312	H2BC3/NPM1/H2BC14/H2BU1	4
CORUM_2183	Kaiso-NCOR complex	-2.81077889696727	0.00118298028695689	0.0891745698030436	4/807	10/15524	3832/8841/9611/79718	KIF11/HDAC3/NCOR1/TBL1XR1	4
CORUM_910	CRSP-Mediator 2 complex	-1.94189457808239	0.00118298028695689	0.0891745698030436	4/807	10/15524	9282/9439/9443/29079	MED14/MED23/MED7/MED4	4
CORUM_5449	Splicing-associated factors complex	-1.5543101939873	0.00129331913707869	0.0891745698030436	3/807	5/15524	7913/9939/10250	DEK/RBM8A/SRRM1	3
CORUM_58	SMRT complex	-1.78942100289909	0.00129331913707869	0.0891745698030436	3/807	5/15524	8841/9612/79718	HDAC3/NCOR2/TBL1XR1	3
CORUM_741	NCOR-HDAC3 complex	-2.55282051901663	0.00129331913707869	0.0891745698030436	3/807	5/15524	8841/9611/79718	HDAC3/NCOR1/TBL1XR1	3
CORUM_284	CRSP complex	-1.90946746378177	0.0017828487361795	0.117795841206775	4/807	11/15524	9282/9439/9443/81857	MED14/MED23/MED7/MED25	4
CORUM_5450	Mediator complex	-2.57072452329081	0.00182106360895244	0.117795841206775	6/807	26/15524	9282/9439/9443/9969/29079/81857	MED14/MED23/MED7/MED13/MED4/MED25	6
