ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa03013	RNA transport	-6.88183446723063	1.48697705032996e-05	0.00504735772521375	23/807	165/15524	1983/3837/5976/7175/7329/8021/8894/9775/9818/9939/10250/10284/10482/10775/10940/11097/23511/55746/57122/79228/79902/84321/348995	EIF5/KPNB1/UPF1/TPR/UBE2I/NUP214/EIF2S2/EIF4A3/NUP58/RBM8A/SRRM1/SAP18/NXF1/POP4/POP1/NUP42/NUP188/NUP133/NUP107/THOC6/NUP85/THOC3/NUP43	23
KEGG_hsa00534	Glycosaminoglycan biosynthesis	-3.69960072821386	0.000158769742849645	0.0200529877538703	7/807	24/15524	2132/2137/3340/9653/11285/26229/64132	EXT2/EXTL3/NDST1/HS2ST1/B4GALT7/B3GAT3/XYLT2	7
KEGG_hsa04721	Synaptic vesicle cycle	-4.57582530051418	0.00224735822263717	0.125291966595227	11/807	78/15524	160/163/526/527/529/1213/6531/6570/6844/10312/10497	AP2A1/AP2B1/ATP6V1B2/ATP6V0C/ATP6V1E1/CLTC/SLC6A3/SLC18A1/VAMP2/TCIRG1/UNC13B	11
KEGG_hsa03420	Nucleotide excision repair	-3.0077557500863	0.00231601878533834	0.125291966595227	8/807	46/15524	1022/1069/3978/5425/5981/8451/29935/54107	CDK7/CETN2/LIG1/POLD2/RFC1/CUL4A/RPA4/POLE3	8
KEGG_hsa05120	Epithelial cell signaling in Helicobacter pylori infection	-4.38572983650446	0.00318667842795466	0.14303182266299	10/807	70/15524	526/527/529/537/836/1147/1432/3725/5781/10312	ATP6V1B2/ATP6V0C/ATP6V1E1/ATP6AP1/CASP3/CHUK/MAPK14/JUN/PTPN11/TCIRG1	10
KEGG_hsa00510	N-Glycan biosynthesis	-3.57988101717997	0.00397019825921028	0.163476109976265	8/807	50/15524	1603/2530/4121/6185/7841/8703/8818/29929	DAD1/FUT8/MAN1A1/RPN2/MOGS/B4GALT3/DPM2/ALG6	8
KEGG_hsa05110	Vibrio cholerae infection	-4.1747386545807	0.00397019825921028	0.163476109976265	8/807	50/15524	71/375/526/527/529/537/10312/23480	ACTG1/ARF1/ATP6V1B2/ATP6V0C/ATP6V1E1/ATP6AP1/TCIRG1/SEC61G	8
KEGG_hsa05034	Alcoholism	-5.79693485973095	0.00500113883693395	0.187318517402678	18/807	177/15524	673/1644/2904/2905/3012/3018/6531/6570/6654/7054/8329/8340/8342/8841/55970/128312/158983/333932	BRAF/DDC/GRIN2B/GRIN2C/H2AC8/H2BC3/SLC6A3/SLC18A1/SOS1/TH/H2AC13/H2BC13/H2BC14/HDAC3/GNG12/H2BU1/H2BW1/H3C15	18
KEGG_hsa04625	C-type lectin receptor signaling pathway	-4.55903801303112	0.00711926505438031	0.201767499405359	12/807	103/15524	1147/1432/2207/3558/3725/4776/5781/5971/6850/8844/26253/93978	CHUK/MAPK14/FCER1G/IL2/JUN/NFATC4/PTPN11/RELB/SYK/KSR1/CLEC4E/CLEC6A	12
KEGG_hsa05211	Renal cell carcinoma	-4.51457843686743	0.00833703533805408	0.206750862652839	9/807	68/15524	673/1398/1399/3725/5781/6513/6654/10298/201163	BRAF/CRK/CRKL/JUN/PTPN11/SLC2A1/SOS1/PAK4/FLCN	9
