Gene	DMSO	osi	EntrezID	Symbol	HumanGene	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
ABR	-0.505774104683196	0.358830062939652	29	ABR	ABR	-0.505774104683196	0.358830062939652	0.864604167622848	18837	10815		top	132
ACOX1	-0.886842975206612	0.116854868567197	51	ACOX1	ACOX1	-0.886842975206612	0.116854868567197	1.00369784377381	18930	5764		top	189
ACTN4	-0.00048534435261708	0.961958533876342	81	ACTN4	ACTN4	-0.00048534435261708	0.961958533876342	0.962443878228959	18906	15318		top	13
AGXT	-0.108093663911846	0.838846723435764	189	AGXT	AGXT	-0.108093663911846	0.838846723435764	0.94694038734761	18896	10358		top	24
AMD1	-0.835559228650138	-0.027408367271381	262	AMD1	AMD1	-0.835559228650138	-0.027408367271381	0.808150861378757	18784	2420		top	211
AMFR	-0.372517906336088	0.590503517215846	267	AMFR	AMFR	-0.372517906336088	0.590503517215846	0.963021423551934	18907	820		top	72
BIRC5	-1.27493112947658	-0.352804516845613	332	BIRC5	BIRC5	-1.27493112947658	-0.352804516845613	0.922126612630971	18878	13977		top	246
ATP5A1	-1.12495867768595	-0.0516910403554239	498	ATP5A1	ATP5A1	-1.12495867768595	-0.0516910403554239	1.07326763733053	18952	18502		top	214
ATP5D	-1.03716804407713	-0.273639392817475	513	ATP5D	ATP5D	-1.03716804407713	-0.273639392817475	0.76352865125966	18730	4541		top	235
BACH1	-0.62732782369146	0.500027767493521	571	BACH1	BACH1	-0.62732782369146	0.500027767493521	1.12735559118498	18963	5900		top	96
CBL	-0.639845730027548	0.353146982599037	867	CBL	CBL	-0.639845730027548	0.353146982599037	0.992992712626586	18926	13086		top	134
CDKN2A	-0.0996451790633609	0.81149574231766	1029	CDKN2A	CDKN2A	-0.0996451790633609	0.81149574231766	0.911140921381021	18867	18991		top	30
CHD2	-0.377079889807163	0.550721954831544	1106	CHD2	CHD2	-0.377079889807163	0.550721954831544	0.927801844638706	18883	5941		top	81
