Gene	sgRNA	DMSO|beta	DMSO|z	DMSO|p-value	DMSO|fdr	DMSO|wald-p-value	DMSO|wald-fdr	osi|beta	osi|z	osi|p-value	osi|fdr	osi|wald-p-value	osi|wald-fdr
A1BG	4	-0.22293	-0.63558	0.052006	0.11814	0.52505	0.99926	-0.48773	-1.3879	0.030712	0.083821	0.16516	0.38207
A2M	4	-0.11443	-0.51168	0.26113	0.39044	0.60887	0.99926	-0.21212	-0.94855	0.30398	0.45337	0.34285	0.57062
NAT1	4	0.13067	0.30459	0.30817	0.43998	0.76068	0.99926	0.5335	1.2439	0.026369	0.074755	0.21354	0.43891
NAT2	4	-0.15159	-0.46888	0.15414	0.26367	0.63916	0.99926	-0.27509	-0.85089	0.19468	0.32909	0.39483	0.61755
SERPINA3	4	-0.080809	-0.23742	0.39868	0.53023	0.81233	0.99926	-0.30003	-0.88139	0.16125	0.28643	0.37811	0.60293
AADAC	4	-0.2348	-1.0264	0.043845	0.1045	0.3047	0.99926	-0.33119	-1.4478	0.12829	0.24193	0.14767	0.35849
AAMP	4	-0.36753	-1.5341	0.005389	0.022818	0.12502	0.93036	-0.4332	-1.8085	0.053733	0.12863	0.070533	0.23211
AANAT	4	-0.12507	-0.62112	0.22623	0.3506	0.53452	0.99926	-0.036327	-0.18045	0.78779	0.86306	0.8568	0.92966
AARS	4	-0.85271	-2.2228	0	0	0.026231	0.67825	-1.1005	-2.8665	0	0	0.0041506	0.045306
ABAT	4	-0.042634	-0.12676	0.60514	0.71369	0.89913	0.99926	-0.020398	-0.0607	0.84299	0.89956	0.9516	0.97706
ABCA1	4	-0.2829	-0.90746	0.021242	0.062567	0.36416	0.99926	-0.1625	-0.5231	0.41218	0.55974	0.6009	0.77419
ABCA2	4	-0.036276	-0.12649	0.64605	0.74725	0.89935	0.99926	-0.43559	-1.5119	0.052582	0.12656	0.13055	0.33505
ABCA3	4	-0.15112	-0.63595	0.15529	0.26521	0.52481	0.99926	-0.14225	-0.59868	0.46502	0.60798	0.54938	0.73922
ABCB7	4	-0.90551	-1.8414	0	0	0.065568	0.82983	-1.3039	-2.6393	0	0	0.0083089	0.066198
ABCF1	4	-0.85108	-1.9641	0	0	0.049519	0.79267	-0.59662	-1.379	0.010307	0.036995	0.16789	0.38559
ABCA4	4	-0.74008	-1.7509	5.232e-05	0.00061387	0.079955	0.85707	-0.5282	-1.2507	0.020457	0.061468	0.21104	0.43616
