id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NUDCD2	4	3.4946e-06	1.0101e-05	0.125	1	4	-2.0761	1.0	1.0	0.999997	19113	0	-2.0761
RCE1	4	7.0064e-06	1.9944e-05	0.125	2	3	-1.2126	0.79606	0.82615	0.999997	15416	1	-1.2126
TNNT1	4	7.4534e-06	2.2016e-05	0.125	3	4	-2.5422	0.99999	0.99999	0.999997	19112	0	-2.5422
CBFB	4	8.6172e-06	2.616e-05	0.125	4	4	-2.3881	0.99959	0.9996	0.999997	19092	0	-2.3881
CDC42EP2	4	1.7801e-05	6.2422e-05	0.217203	5	4	-1.9324	0.99998	0.99998	0.999997	19111	0	-1.9324
PCGF5	4	2.1251e-05	7.589e-05	0.217203	6	2	-0.77846	0.41706	0.58391	0.999997	10850	2	-0.77846
LASP1	4	2.3958e-05	8.6251e-05	0.217203	7	4	-1.5573	0.99996	0.99995	0.999997	19110	0	-1.5573
CORIN	4	2.5901e-05	9.0913e-05	0.217203	8	2	-0.17536	0.31213	0.49628	0.999997	9237	2	-0.17536
SLC35B2	4	5.5209e-05	0.00020177	0.325743	9	4	-3.2338	0.99983	0.99983	0.999997	19101	0	-3.2338
TRIO	4	5.9418e-05	0.00021861	0.325743	10	3	-1.2964	0.60612	0.7451	0.999997	13870	1	-1.2964
HS2ST1	4	6.1775e-05	0.00022715	0.325743	11	4	-1.0968	0.99994	0.99994	0.999997	19109	0	-1.0968
CHUK	4	6.3447e-05	0.00023544	0.325743	12	4	-1.3281	0.98988	0.9899	0.999997	18845	0	-1.3281
SULT1A1	4	6.4911e-05	0.00024269	0.325743	13	3	-1.3589	0.089046	0.20573	0.989486	3962	1	-1.3589
NUP133	4	6.8377e-05	0.00025564	0.325743	14	4	-3.5647	0.99993	0.99994	0.999997	19108	0	-3.5647
BMP1	4	7.7102e-05	0.0002945	0.328239	15	4	-1.6255	0.99992	0.99993	0.999997	19107	0	-1.6255
SERPINB5	4	7.7703e-05	0.0002976	0.328239	16	4	-1.774	0.99528	0.99531	0.999997	18978	0	-1.774
NDST1	3	7.7884e-05	0.0002401	0.325743	17	3	-1.1726	0.99992	0.99992	0.999997	19106	0	-1.1726
AP3D1	4	8.5076e-05	0.00032402	0.328239	18	3	-1.9121	0.95104	0.95096	0.999997	17955	0	-1.9121
XPO7	4	9.5267e-05	0.00036236	0.328239	19	3	-1.713	0.89896	0.89892	0.999997	16887	1	-1.713
SLC52A2	4	9.6503e-05	0.00036754	0.328239	20	3	-1.3114	0.54659	0.6935	0.999997	12865	1	-1.3114
VKORC1	4	0.00010037	0.00038152	0.328239	21	3	-1.1903	0.86591	0.8711	0.999997	16311	1	-1.1903
AP2A1	4	0.00010256	0.0003924	0.328239	22	4	-1.3936	0.9999	0.9999	0.999997	19105	0	-1.3936
FERMT2	4	0.0001033	0.00039499	0.328239	23	4	-1.7512	0.9999	0.9999	0.999997	19104	0	-1.7512
GLCE	4	0.0001295	0.00050119	0.373001	24	2	-0.25534	0.91376	0.91354	0.999997	17158	0	-0.25534
B4GALNT2	4	0.0001305	0.00050533	0.373001	25	3	-1.4711	0.9746	0.97455	0.999997	18472	0	-1.4711
NFE2L2	4	0.00013086	0.0005074	0.373001	26	4	-4.3396	0.99987	0.99987	0.999997	19103	0	-4.3396
SMARCA5	4	0.00014792	0.00056905	0.402824	27	4	-1.7275	0.99985	0.99986	0.999997	19102	0	-1.7275
FKRP	4	0.00017249	0.00065867	0.439109	28	2	-0.90731	0.86565	0.8709	0.999997	16306	1	-0.90731
CDK6	4	0.00017582	0.00067006	0.439109	29	4	-2.1478	0.98519	0.9852	0.999997	18719	0	-2.1478
SLC39A11	4	0.0001813	0.00068923	0.439109	30	2	-0.34662	0.3635	0.539	0.999997	10039	1	-0.34662
HEXIM1	4	0.00019931	0.00075657	0.464596	31	4	-4.8933	0.9998	0.9998	0.999997	19100	0	-4.8933
SMG8	4	0.00020965	0.00079232	0.464596	32	4	-1.2833	0.99956	0.99958	0.999997	19089	0	-1.2833
ACACA	4	0.00021352	0.00080216	0.464596	33	4	-2.0012	0.98413	0.98413	0.999997	18688	0	-2.0012
DCAF7	4	0.00023309	0.00087572	0.481023	34	3	-0.56218	0.75357	0.80425	0.999997	14967	1	-0.56218
KRT10	4	0.00023619	0.00088608	0.481023	35	3	-0.8267	0.95013	0.95008	0.999997	17937	0	-0.8267
AMOTL1	4	0.00025491	0.00094669	0.481023	36	4	-1.8539	0.99582	0.99584	0.999997	18992	0	-1.8539
B3GAT3	4	0.00025815	0.00095757	0.481023	37	4	-1.5889	0.99974	0.99974	0.999997	19099	0	-1.5889
OTOP2	4	0.00027835	0.0010327	0.481023	38	4	-3.103	0.99972	0.99972	0.999997	19098	0	-3.103
CCDC47	4	0.00028171	0.0010441	0.481023	39	4	-2.4128	0.99972	0.99972	0.999997	19097	0	-2.4128
CHTOP	4	0.00028486	0.001057	0.481023	40	4	-0.91921	0.97715	0.97719	0.999997	18520	0	-0.91921
NUAK1	4	0.00028489	0.001057	0.481023	41	1	0.36296	0.15307	0.30946	0.999997	5837	3	0.36296
PRKCE	4	0.00030978	0.0011399	0.498087	42	3	-1.0727	0.49478	0.64929	0.999997	12049	1	-1.0727
INSIG2	4	0.00031143	0.0011466	0.498087	43	4	-1.926	0.99969	0.9997	0.999997	19096	0	-1.926
SSPN	3	0.0003388	0.0010037	0.481023	44	2	-3.5727	0.29552	0.43745	0.999997	8981	1	-3.5727
OXLD1	4	0.00034122	0.0012539	0.52764	45	4	-2.1926	0.99966	0.99967	0.999997	19095	0	-2.1926
OPTC	4	0.00034706	0.0012772	0.52764	46	3	-1.7858	0.96478	0.96474	0.999997	18250	0	-1.7858
JUN	4	0.00035516	0.0013078	0.52764	47	3	-3.4788	0.94882	0.94877	0.999997	17907	0	-3.4788
AGAP9	4	0.00036021	0.0013251	0.52764	48	4	-3.2687	0.99964	0.99965	0.999997	19094	0	-3.2687
TENM1	4	0.00038847	0.0014248	0.535592	49	1	-0.030012	0.25704	0.45104	0.999997	8412	1	-0.030012
TBC1D3	4	0.00039065	0.0014347	0.535592	50	4	-3.1666	0.99961	0.99962	0.999997	19093	0	-3.1666
UBALD2	4	0.00039696	0.0014564	0.535592	51	3	-0.86387	0.58799	0.7293	0.999997	13569	1	-0.86387
NCOR1	4	0.00041995	0.0015393	0.535592	52	4	-3.2676	0.99958	0.99959	0.999997	19091	0	-3.2676
BCAR3	4	0.00042744	0.0015631	0.535592	53	4	-1.5105	0.99957	0.99959	0.999997	19090	0	-1.5105
VMO1	4	0.00043233	0.0015792	0.535592	54	3	-1.3766	0.6452	0.75889	0.999997	14100	1	-1.3766
KNDC1	4	0.00043267	0.0015797	0.535592	55	4	-1.1597	0.99161	0.99166	0.999997	18897	0	-1.1597
STAG2	4	0.00043535	0.001589	0.535592	56	3	-0.89814	0.97162	0.97158	0.999997	18408	0	-0.89814
PTP4A2	4	0.00044026	0.0016098	0.535592	57	3	-1.0035	0.92765	0.92742	0.999997	17440	0	-1.0035
PHACTR3	4	0.00044447	0.0016253	0.535592	58	3	-1.2014	0.31515	0.4988	0.999997	9285	1	-1.2014
ZFP14	4	0.00049204	0.0018097	0.579785	59	2	0.01974	0.50726	0.65981	0.999997	12234	2	0.01974
SOS1	4	0.00049481	0.0018201	0.579785	60	3	-1.294	0.88877	0.88968	0.999997	16689	1	-1.294
ANKRD50	4	0.0005131	0.0018874	0.591381	61	2	-1.1027	0.12305	0.26195	0.999997	4984	1	-1.1027
BTBD1	4	0.00055032	0.0020112	0.62001	62	4	-1.1407	0.99945	0.99946	0.999997	19088	0	-1.1407
ADAMTS9	4	0.00057893	0.0021319	0.640241	63	4	-1.2882	0.9878	0.98783	0.999997	18792	0	-1.2882
C4orf26	4	0.00059561	0.0021848	0.640241	64	1	0.42974	0.17934	0.34951	0.999997	6574	3	0.42974
AP3M1	4	0.0006079	0.0022319	0.640241	65	2	-1.2837	0.71882	0.78818	0.999997	14674	1	-1.2837
TMEM238	4	0.00062248	0.0022873	0.640241	66	3	-3.3155	0.85974	0.86647	0.999997	16191	1	-3.3155
NRAS	4	0.00064073	0.0023474	0.640241	67	2	-1.0254	0.26307	0.45592	0.999997	8500	2	-1.0254
CRK	4	0.00064672	0.0023702	0.640241	68	4	-2.5732	0.99935	0.99936	0.999997	19087	0	-2.5732
ASZ1	4	0.00064739	0.0023723	0.640241	69	1	0.18116	0.53024	0.67934	0.999997	12592	2	0.18116
KIAA1191	4	0.00065051	0.0023832	0.640241	70	4	-0.87004	0.99935	0.99936	0.999997	19086	0	-0.87004
VAMP2	4	0.0006581	0.0024148	0.640241	71	3	-1.9827	0.95077	0.9507	0.999997	17949	0	-1.9827
ADCY1	4	0.00065991	0.0024215	0.640241	72	3	-1.0792	0.1809	0.35182	0.999997	6622	1	-1.0792
PKN2	4	0.00066606	0.0024453	0.640241	73	4	-1.8585	0.99933	0.99934	0.999997	19085	0	-1.8585
NACC1	4	0.00068516	0.0025147	0.641371	74	4	-1.6689	0.99931	0.99932	0.999997	19084	0	-1.6689
BTBD2	4	0.00069916	0.0025676	0.641371	75	4	-0.59337	0.99367	0.9937	0.999997	18940	0	-0.59337
PDP2	4	0.0007023	0.0025779	0.641371	76	3	-1.3946	0.29954	0.48579	0.999997	9051	1	-1.3946
GCK	4	0.0007139	0.0026168	0.641371	77	4	-1.2897	0.99929	0.99929	0.999997	19083	0	-1.2897
SPATS1	4	0.00071866	0.0026318	0.641371	78	4	-1.6474	0.99928	0.99928	0.999997	19082	0	-1.6474
SPATS2L	4	0.00072401	0.002651	0.641371	79	3	-0.79167	0.92954	0.92933	0.999997	17481	0	-0.79167
PLA2G4E	4	0.00073817	0.0027069	0.642525	80	3	-2.0565	0.77713	0.81602	0.999997	15215	1	-2.0565
IL12RB2	4	0.00074307	0.002723	0.642525	81	3	-1.2421	0.91832	0.91811	0.999997	17253	0	-1.2421
PSMD10	4	0.00079068	0.0028919	0.674052	82	4	-1.1778	0.99706	0.99705	0.999997	19026	0	-1.1778
HNRNPF	4	0.00080271	0.0029338	0.675593	83	4	-2.7006	0.99724	0.99724	0.999997	19034	0	-2.7006
EXTL3	4	0.00083088	0.0030338	0.690299	84	4	-2.2103	0.99917	0.99916	0.999997	19081	0	-2.2103
CNNM1	4	0.00085083	0.0031037	0.690594	85	4	-0.91296	0.99915	0.99914	0.999997	19080	0	-0.91296
VWDE	4	0.00085448	0.0031167	0.690594	86	2	0.078385	0.012144	0.04021	0.863517	889	2	0.078385
STK11	4	0.0008625	0.0031504	0.690594	87	4	-1.6657	0.99914	0.99913	0.999997	19079	0	-1.6657
SSX2	4	0.00088688	0.0032374	0.690594	88	2	-0.73261	0.65899	0.76398	0.999997	14206	1	-0.73261
ETNK1	4	0.00089625	0.0032711	0.690594	89	3	-1.8468	0.83725	0.85076	0.999997	15897	1	-1.8468
ZNF622	4	0.00090625	0.0033063	0.690594	90	1	0.19729	0.3228	0.50507	0.999997	9392	2	0.19729
GMNN	4	0.00090633	0.0033063	0.690594	91	4	-3.2762	0.99909	0.99908	0.999997	19078	0	-3.2762
ALDH3B1	4	0.00092065	0.0033633	0.690594	92	3	-1.5437	0.90669	0.90642	0.999997	17029	1	-1.5437
BCAM	4	0.00093054	0.0034016	0.690594	93	4	-1.9399	0.9896	0.98963	0.999997	18838	0	-1.9399
DPY19L4	4	0.00093585	0.0034166	0.690594	94	2	-0.5488	0.86472	0.87019	0.999997	16289	1	-0.5488
E2F4	4	0.00095802	0.0034948	0.690594	95	1	0.42933	0.062385	0.15945	0.973576	3125	3	0.42933
GRHL3	4	0.00097419	0.0035373	0.690594	96	4	-2.1987	0.99903	0.99901	0.999997	19077	0	-2.1987
PLA2G4C	4	0.0009969	0.0036148	0.690594	97	3	-1.3743	0.75672	0.80578	0.999997	15004	1	-1.3743
IER2	4	0.0010098	0.0036632	0.690594	98	2	-0.25785	0.27759	0.46785	0.999997	8720	2	-0.25785
GPR173	4	0.0010179	0.0036943	0.690594	99	3	-0.99289	0.90561	0.90531	0.999997	17009	1	-0.99289
RFWD3	4	0.0010257	0.0037192	0.690594	100	4	-1.5613	0.99897	0.99897	0.999997	19076	0	-1.5613
NCALD	4	0.0010311	0.0037394	0.690594	101	4	-0.75664	0.99897	0.99896	0.999997	19075	0	-0.75664
DDC	4	0.0010682	0.0038725	0.690594	102	3	-1.3857	0.8623	0.8684	0.999997	16240	1	-1.3857
L1CAM	4	0.0010763	0.0039051	0.690594	103	3	-1.2471	0.94813	0.94809	0.999997	17893	0	-1.2471
LY6G5C	4	0.0010772	0.0039093	0.690594	104	4	-1.3767	0.99892	0.99891	0.999997	19074	0	-1.3767
CCL21	4	0.0010901	0.0039528	0.690594	105	3	-1.2459	0.92327	0.92313	0.999997	17354	0	-1.2459
USP8	4	0.001102	0.0040046	0.690594	106	4	-2.2623	0.9989	0.99888	0.999997	19073	0	-2.2623
CPM	4	0.0011079	0.0040243	0.690594	107	3	-1.5603	0.045489	0.12907	0.95712	2570	1	-1.5603
CXCL17	4	0.0011133	0.004046	0.690594	108	2	-0.45073	0.94396	0.94386	0.999997	17786	0	-0.45073
OR4N4	4	0.0011239	0.0040792	0.690594	109	3	-1.9506	0.51514	0.66645	0.999997	12362	1	-1.9506
MPZL1	4	0.0011341	0.0041108	0.690594	110	3	-0.88255	0.35407	0.53114	0.999997	9891	1	-0.88255
SPAG7	4	0.0011531	0.0041766	0.690594	111	2	-0.82902	0.92479	0.9246	0.999997	17373	0	-0.82902
PDZD2	4	0.0011651	0.0042216	0.690594	112	2	0.098733	0.32501	0.50692	0.999997	9438	2	0.098733
SSRP1	4	0.0011683	0.0042346	0.690594	113	4	-2.1826	0.99883	0.99882	0.999997	19072	0	-2.1826
POLR2G	4	0.0011722	0.0042496	0.690594	114	4	-3.934	0.99883	0.99881	0.999997	19071	0	-3.934
HERC2	4	0.0011775	0.0042662	0.690594	115	4	-1.2031	0.99882	0.99881	0.999997	19070	0	-1.2031
MAPK1IP1L	4	0.0011825	0.0042838	0.690594	116	4	-2.4011	0.99882	0.99881	0.999997	19069	0	-2.4011
PITPNA	4	0.0011981	0.0043366	0.690594	117	4	-2.2331	0.9988	0.99879	0.999997	19068	0	-2.2331
ZNF165	4	0.001209	0.0043786	0.690594	118	3	-2.4148	0.95894	0.95887	0.999997	18123	0	-2.4148
THOC6	4	0.0012094	0.0043796	0.690594	119	4	-1.1203	0.99879	0.99878	0.999997	19067	0	-1.1203
OR4C15	4	0.0012101	0.0043838	0.690594	120	4	-1.279	0.99879	0.99878	0.999997	19066	0	-1.279
RNF2	4	0.0012168	0.0044081	0.690594	121	2	-0.20594	0.89888	0.89884	0.999997	16885	1	-0.20594
ACE	4	0.0012389	0.0045014	0.699469	122	3	-1.3022	0.9308	0.93055	0.999997	17508	0	-1.3022
DEK	4	0.001252	0.0045449	0.700535	123	3	-0.99295	0.92901	0.92882	0.999997	17468	0	-0.99295
KLHL21	4	0.0012624	0.0045817	0.700554	124	3	-1.8055	0.95485	0.95472	0.999997	18038	0	-1.8055
GLYAT	4	0.0012745	0.0046231	0.701281	125	3	-1.4116	0.08275	0.19502	0.988653	3768	1	-1.4116
SETD3	4	0.0013181	0.0047749	0.714148	126	4	-1.6834	0.99868	0.99869	0.999997	19065	0	-1.6834
DRAM1	4	0.0013203	0.0047827	0.714148	127	2	-0.9425	0.90722	0.90699	0.999997	17043	1	-0.9425
USP17L7	4	0.0013687	0.0049526	0.724473	128	3	-0.9265	0.3362	0.51618	0.999997	9608	1	-0.9265
DIAPH2	4	0.0013721	0.004965	0.724473	129	2	-1.3033	0.021045	0.06688	0.905247	1407	1	-1.3033
PLCE1	4	0.0013724	0.0049655	0.724473	130	4	-2.2458	0.98936	0.9894	0.999997	18831	0	-2.2458
H1FNT	4	0.0014228	0.0051365	0.743058	131	2	-0.72981	0.12694	0.26817	0.999997	5095	2	-0.72981
ITM2A	4	0.0014312	0.0051707	0.743058	132	3	-2.2181	0.55344	0.69944	0.999997	12984	1	-2.2181
FUT8	4	0.0014496	0.005238	0.747118	133	4	-2.7816	0.99855	0.99856	0.999997	19064	0	-2.7816
ELMO3	4	0.0014756	0.0053359	0.755446	134	2	-0.94303	0.26624	0.45855	0.999997	8547	2	-0.94303
MDP1	3	0.0014951	0.0042133	0.690594	135	1	0.52625	0.15131	0.27387	0.999997	5797	2	0.52625
TRO	4	0.0015038	0.0054442	0.765106	136	4	-1.2006	0.9985	0.99851	0.999997	19063	0	-1.2006
SLC10A3	4	0.0015273	0.0055296	0.771446	137	1	0.25659	0.3887	0.56009	0.999997	10427	2	0.25659
SLC5A8	4	0.0015791	0.0057115	0.791039	138	2	-0.13683	0.47375	0.63163	0.999997	11708	2	-0.13683
MAPK14	4	0.0016238	0.005871	0.800128	139	4	-1.0775	0.98967	0.9897	0.999997	18840	0	-1.0775
CEP72	4	0.0016308	0.0058995	0.800128	140	3	-0.93836	0.96394	0.96389	0.999997	18238	0	-0.93836
TLE6	4	0.001651	0.0059674	0.800128	141	3	-2.011	0.92917	0.92896	0.999997	17473	0	-2.011
PRKCI	4	0.0016761	0.0060513	0.800128	142	4	-1.3964	0.99832	0.99833	0.999997	19062	0	-1.3964
