mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,24.1,6.4,5.7,5,3.8,3.5,3.2
2,0,24.9,3.1,3,2.4,,,
3,0,24,5,4.6,3.3,,,
4,0,23.6,4.1,4,3.2,,,
6,0,25.9,4.7,4.2,3.5,6.7,5.4,3.1
7,0,25,8.1,6.3,5.7,,,
8,0,24.7,9.1,8.1,4.6,,,
9,0,25.6,9.4,6.3,4.9,,,
10,0,23.5,4.6,3.5,2.4,,,
12,0,23.1,8.9,8.3,5.9,,,
31,20,24.7,4.4,4.3,2.8,,,
32,20,23.2,5,4.3,2.4,,,
34,20,23,4.3,3.9,2.4,,,
35,20,22.9,9,6.2,3.4,,,
36,20,25.7,4,3.3,2.3,,,
37,20,24.7,3.5,3.2,2,3,2,1.5
38,20,25.1,5.3,5.2,2.2,,,
39,20,24.7,3.9,3.3,3,,,
41,20,26.3,2.9,2.6,2.3,2.4,2.1,1.3
44,20,22,3.1,2.4,2.3,,,
45,20,23.8,3.8,2.9,1.8,,,
48,20,21.2,4.1,3,2,,,
